1,603133.SH,*ST碳元,碳元科技股份有限公司,江苏,常州市,2017-03-20,2010-08-13,周春君,"20,918.52",312,高导热石墨散热材料开发、制造与销售.,徐世中,江苏武进经济开发区兰香路7号,江苏武进经济开发区兰香路7号,计算机、通信和其他电子设备制造业
2,600970.SH,中材国际,中国中材国际工程股份有限公司,江苏,南京市,2005-04-12,2001-12-28,印志松,"264,202.18",15194,"工程技术服务,高端装备制造,生产运营服务,其他业务",国务院国有资产监督管理委员会,江苏省南京市江宁开发区临淮街32号,北京市朝阳区望京北路16号中材国际大厦,土木工程建筑业
3,603656.SH,泰禾智能,合肥泰禾智能科技集团股份有限公司,安徽,合肥市,2017-03-21,2004-12-10,许大红,"18,337.54",944,研发、生产和销售智能检测分选装备与工业机器人及自动化成套装备。,许大红,合肥市经济技术开发区桃花工业园拓展区玉兰大道66号,合肥市经济技术开发区桃花工业园拓展区玉兰大道66号,专用设备制造业
4,603960.SH,克来机电,上海克来机电自动化工程股份有限公司,上海,上海市,2017-03-14,2003-05-30,谈士力,"26,305.85",586,智能装备业务和汽车零部件业务,"谈士力,陈久康",上海市宝山区罗东路1555号4幢,上海市宝山区罗东路1555号,专用设备制造业
5,603577.SH,汇金通,青岛汇金通电力设备股份有限公司,山东,青岛市,2016-12-22,2004-04-06,张春晖,"33,913.91",3462,"输电线路铁塔、紧固件、通讯塔、光伏支架等设备的研发、生产和销售,以及电力项目总承包、检验检测服务等",韩敬远,青岛胶州市杜村镇寺后村,青岛胶州市铺集镇东部工业区,金属制品业
6,603630.SH,拉芳家化,拉芳家化股份有限公司,广东,汕头市,2017-03-13,2001-12-14,吴桂谦,"22,520.46",1147,洗护类、护肤类、彩妆类产品的研发、生产和销售,"吴桂谦,澳洲万达国际有限公司,吴滨华",广东省汕头市潮南区国道324线新庆路段拉芳工业城,广东省汕头市龙湖区万吉工业龙江路拉芳大厦,化学原料和化学制品制造业
7,603903.SH,中持股份,中持水务股份有限公司,北京,北京市,2017-03-14,2009-12-31,张翼飞,"25,531.95",1527,"城镇污水处理,工业园区及工业污水处理,综合环境治理",无,北京市海淀区西小口路66号D区2号楼四层402室,北京市海淀区西小口路66号B-1号楼三层303室,生态保护和环境治理业
8,603138.SH,海量数据,北京海量数据技术股份有限公司,北京,北京市,2017-03-06,2007-07-30,闫忠文,"29,445.07",680,"专注于数据库领域,主要从事数据库产品研发、销售、服务、咨询。","陈志敏,朱华威",北京市海淀区学院路30号科大天工大厦B座6层01室,北京市海淀区学院路30号科大天工大厦B座6层01室,软件和信息技术服务业
9,603179.SH,新泉股份,江苏新泉汽车饰件股份有限公司,江苏,镇江市,2017-03-17,2001-04-28,唐志华,"48,730.23",10913,汽车饰件整体解决方案提供商,"唐志华,唐敖齐",江苏省丹阳市丹北镇长春村,江苏省常州市新北区黄河西路555号,汽车制造业
10,603578.SH,三星新材,浙江三星新材股份有限公司,浙江,湖州市,2017-03-06,1999-06-24,仝小飞,"18,035.70",993,各类低温储藏设备玻璃门体及深加工玻璃产品的设计、研发、生产与销售,金银山,德清县禹越镇杭海路333号,浙江省湖州市德清县禹越镇杭海路333号,非金属矿物制品业
